Age,Income,Gender,Marital_Status,Credit_Score,Num_Purchases,Membership_Years,Device_Used,Churn
56.0,70201.18967961494,Female,Married,687.7617759649293,9,12,Desktop,0
69.0,51901.897395207045,Male,Single,712.6171152171962,3,14,Tablet,0
46.0,38605.40929282667,Male,Married,782.2996428124361,5,8,Mobile,0
32.0,49949.7369551154,Female,Single,697.7495176721907,7,1,Tablet,0
,48965.29009481312,Other,Married,663.1552156589804,4,4,Desktop,1
25.0,11326.76855506262,Female,Divorced,697.0610838310654,1,4,Desktop,1
38.0,41579.49711356512,,Divorced,687.6152197014458,5,6,Tablet,1
56.0,54713.05599425676,Female,Married,714.7087131092496,7,12,Tablet,0
36.0,43636.76652182321,Male,Divorced,540.0983694844324,3,12,Desktop,0
40.0,40306.85957265501,Male,Divorced,,3,2,Mobile,0
28.0,63670.64293706846,Male,Divorced,682.2308355305815,9,7,Tablet,0
28.0,36251.81262836841,,Single,644.900698306348,1,5,Mobile,1
41.0,60674.33975706234,Other,Divorced,704.8916510952291,6,10,Mobile,0
53.0,30008.83293817573,Female,Single,784.4817334398329,6,6,Desktop,0
57.0,91411.42903589277,Female,Married,659.6751991773108,5,11,Desktop,0
41.0,46764.71709648114,Male,Divorced,698.4204756495383,4,14,Desktop,0
20.0,45151.02066055916,Other,Divorced,762.4385332316087,7,6,Mobile,0
39.0,67145.98854334878,Female,Divorced,661.3095154159299,7,14,Desktop,1
19.0,43719.42738790327,Other,Married,587.8075758348833,6,14,Desktop,0
41.0,71823.91712488499,Other,Single,693.1045194361546,5,12,Mobile,0
61.0,55573.9074572979,Male,Single,495.8833704241347,3,14,Mobile,1
47.0,48224.03149180656,Male,Divorced,489.1143073426124,5,11,Mobile,0
55.0,46624.91144944437,Other,Married,,3,6,Mobile,0
,68113.88255645393,Other,Married,485.85207318426933,1,10,Tablet,1
38.0,53457.308219052546,Other,Married,557.9382580300266,2,12,Desktop,1
50.0,56484.63096786155,Other,Married,623.3931005542775,6,8,Tablet,1
29.0,58115.02808905443,Male,Married,599.500855517788,4,10,Mobile,1
39.0,51994.042778340365,Female,Single,639.6535447517018,9,4,Mobile,1
61.0,57798.08339524975,Male,Single,727.9009098537948,4,10,Mobile,1
42.0,48225.14865978514,Female,Single,666.6936567954751,6,8,Mobile,1
66.0,49252.87052260136,Other,Divorced,591.2475718754379,8,9,Mobile,1
44.0,33213.27607959937,Female,Married,744.8108750948993,5,13,Desktop,1
59.0,54466.40376377596,Male,Divorced,549.9799934419066,3,13,Tablet,1
45.0,24206.884899316694,Male,Married,665.5318456140469,4,4,Tablet,0
33.0,54253.37105916369,Other,Single,542.1939817491807,3,1,Desktop,1
32.0,45790.75975752778,Male,Divorced,667.6622534011377,6,3,Desktop,1
64.0,55618.77664176467,Other,Single,627.6960817275182,6,1,Desktop,1
68.0,34267.57498877486,Male,Married,725.7566538068457,9,7,Tablet,1
61.0,18209.639479420366,Male,Married,700.4482629835961,5,12,Tablet,1
69.0,44737.02039539691,Other,Married,608.9002467605836,5,1,Mobile,0
20.0,34311.30996714353,Female,Single,595.4742251428631,3,11,Tablet,0
54.0,23291.649751842764,Male,Married,627.9432286877524,8,4,Tablet,0
68.0,61519.749045418546,Female,Single,781.2900022024038,6,13,Desktop,1
24.0,74018.5734071306,Male,Divorced,763.3347936775656,5,14,Tablet,1
38.0,38045.72846338175,,Married,582.2212270241945,1,1,Mobile,0
26.0,48863.437591678194,Male,Married,706.0157736600944,3,13,Tablet,1
56.0,45383.21574980282,Male,Married,528.7997999771914,2,13,Desktop,1
35.0,40116.52367035695,Female,Divorced,,7,2,Desktop,0
21.0,59956.05820832032,Female,Married,585.0704952996279,2,11,Mobile,1
42.0,,,Single,724.8495620300708,2,14,Mobile,1
31.0,36970.89216101594,Male,Single,559.6497736148111,8,1,Tablet,1
67.0,50671.503006423554,Female,Married,680.0545164795731,3,13,Mobile,1
26.0,69267.99550900841,Other,Married,650.0497085096174,6,5,Mobile,1
43.0,60335.54304822459,Other,Divorced,637.7185819189343,6,7,Desktop,1
19.0,62565.46157600733,Female,Divorced,767.0108065521079,2,3,Desktop,1
37.0,70519.77961163622,Male,Divorced,773.1788034634018,5,14,Tablet,0
45.0,70322.67758559875,Male,Married,639.892502708292,2,8,Tablet,0
64.0,65429.639454545984,Other,Divorced,625.7858589580004,2,14,Tablet,1
24.0,52174.06122171771,Other,Divorced,544.5188676837784,5,5,Tablet,1
61.0,44262.75473812862,Female,Single,649.7018708932553,4,5,Desktop,0
25.0,51552.16647969778,Other,Divorced,786.7312279022194,3,13,Tablet,0
64.0,41983.89970964947,Female,Single,640.9885262330454,5,5,Tablet,0
52.0,20712.696904839766,Other,Single,701.0131498200645,8,8,Mobile,0
31.0,45807.514012999396,Other,Divorced,552.1751873256515,7,2,Tablet,0
34.0,55362.89365755831,Other,Single,619.5657549186478,5,2,Mobile,0
53.0,41190.958733507316,Male,Married,682.3725714061856,6,14,Desktop,0
67.0,47108.303191420884,Male,Married,657.4103678633637,3,12,Tablet,1
57.0,47689.449260499016,Male,Divorced,707.7267134087393,5,8,Mobile,0
,70352.85161328333,Other,Married,607.8129680808935,8,9,Tablet,0
,44608.440889626465,Female,Single,527.5008015823435,5,11,Mobile,0
23.0,70349.50073275181,Female,Married,728.5463161225589,6,12,Tablet,1
59.0,9312.642622280393,Female,Divorced,584.4695497510364,5,10,Desktop,1
21.0,70217.83671993554,Female,Divorced,685.4622819251389,5,10,Desktop,1
46.0,69461.09172293937,Male,Single,681.5599806541891,7,2,Mobile,0
35.0,63533.820100837875,Male,Divorced,533.5372763477606,5,4,Mobile,0
43.0,19821.229951943427,Other,Married,723.4387792068018,4,8,Desktop,0
61.0,65283.30492833722,Other,Divorced,610.3402963829722,7,2,Tablet,1
51.0,49248.212364871244,Female,Single,653.8538235390873,6,4,Mobile,1
27.0,12059.938401130094,Male,Divorced,624.9272205224111,9,10,Desktop,1
53.0,69472.66561752044,Female,Married,763.5814051563036,4,13,Mobile,1
31.0,71662.59617823453,,Single,,1,13,Desktop,1
48.0,21432.31892202243,Other,Married,523.1365791360495,8,1,Desktop,1
65.0,52631.3161295017,Female,Single,808.1178985335732,5,2,Mobile,0
32.0,70828.86682166274,Other,Divorced,602.5185287239362,6,7,Mobile,1
25.0,68452.4197018572,Female,Single,797.1705673887286,5,1,Desktop,1
31.0,62540.91576739286,Male,Single,632.0653299502011,6,12,Tablet,1
40.0,10291.206801537373,Female,Divorced,626.1358305735646,8,1,Desktop,1
57.0,60943.14149953721,Male,Married,632.6870586845524,2,2,Tablet,0
38.0,46728.44152439086,Male,Divorced,621.9447248514357,4,4,Tablet,0
33.0,64937.86293077742,Other,Single,826.7077576476255,1,7,Tablet,1
62.0,53842.42187650737,Other,Divorced,644.6545760475556,6,4,Mobile,0
35.0,49701.77584566703,Other,Single,628.8392497222917,8,5,Desktop,0
64.0,59613.557741138546,Female,Divorced,655.3907530245061,7,4,Desktop,0
41.0,47421.29943392363,Female,Divorced,582.2865362152706,6,4,Tablet,0
43.0,49635.84080162087,,Married,761.7984374003175,4,9,Tablet,0
42.0,41671.64001306857,Female,Single,547.0243415014808,3,6,Tablet,0
62.0,25918.865132231564,Other,Married,607.0193975050016,6,12,Desktop,0
58.0,58517.80210656907,,Single,715.5662216892755,6,3,Tablet,1
46.0,37909.54520494145,Male,Divorced,652.9646491537202,3,6,Desktop,0
32.0,46988.122009388986,Male,Single,688.4450627750033,1,13,Desktop,1
62.0,54304.609376809,Other,Married,757.3214881679801,8,7,Mobile,0
18.0,18721.735346518417,Female,Married,720.2661083832736,2,7,Tablet,0
42.0,22079.76644484765,Female,Married,659.6233441598802,5,8,Tablet,0
24.0,45503.92135086196,Male,Single,796.2539854896258,4,13,Tablet,1
26.0,,,Married,606.0164695842636,6,4,Mobile,0
41.0,61160.57405973742,Other,Married,642.9783251305213,4,1,Tablet,1
18.0,26130.282561861393,Male,Married,647.8691767948063,5,6,Desktop,0
61.0,59549.47226619223,Other,Divorced,642.8304763788115,5,8,Tablet,0
25.0,,Male,Divorced,575.1552540127187,6,5,Desktop,1
41.0,36752.641323552845,Male,Single,539.1445122387652,3,13,Desktop,0
28.0,40271.72215910944,Female,Single,679.2041102065435,5,3,Desktop,0
,62027.8599806025,Male,Married,605.656835011454,5,4,Desktop,0
34.0,54110.08677628357,Male,Divorced,783.5466152286896,4,8,Tablet,1
25.0,50754.59784132981,Other,Married,644.9220373735333,4,6,Mobile,0
52.0,53652.4360821185,Male,Married,632.3957519755957,4,13,Mobile,0
52.0,63921.4666492429,Other,Divorced,,4,13,Desktop,0
50.0,48543.50648895015,Male,Divorced,678.1534846213406,6,5,Tablet,1
22.0,50814.78329681355,Male,Divorced,637.7137800549066,6,13,Mobile,0
59.0,,Other,Single,605.148777656489,6,9,Tablet,1
56.0,45026.20063605262,Female,Single,906.0391262799352,7,10,Mobile,0
58.0,59272.108929210226,Other,Married,675.3250033583217,5,3,Desktop,0
45.0,42444.43278990288,Other,Single,725.9100704169077,8,7,Desktop,1
24.0,43761.98987882323,Other,Divorced,578.3938135836553,4,9,Desktop,1
26.0,48439.25364800545,Female,Divorced,609.5410229503427,5,11,Mobile,1
25.0,57729.09279480148,Male,Single,797.8642121803202,1,13,Tablet,1
29.0,67912.72943826603,Other,Married,747.7851657548945,7,11,Desktop,1
51.0,,Other,Married,682.0335472613298,5,12,Tablet,0
50.0,27502.446330146835,Female,Single,623.2900375742083,9,4,Tablet,0
65.0,59471.69440300907,Other,Married,633.6174959630397,5,10,Desktop,1
40.0,86807.63261218564,Male,Married,602.672248532071,8,10,Mobile,0
41.0,51630.032466010256,Female,Married,569.0205468902951,9,3,Desktop,0
54.0,24368.48541230631,Male,Divorced,714.669092898271,5,1,Desktop,1
52.0,52544.79334206277,Male,Divorced,687.7181855954441,9,9,Mobile,1
61.0,49954.81095224241,Female,Single,701.5255171439591,5,13,Tablet,1
57.0,48693.367349564156,Other,Divorced,626.4171408426415,6,1,Mobile,0
39.0,64181.14849965699,Male,Married,667.8947282593215,3,2,Mobile,1
44.0,70674.12179503587,Male,Divorced,619.7569364518106,5,9,Desktop,0
52.0,60253.78617801624,Male,Single,599.0884356060785,5,5,Mobile,1
,48004.128729933975,Male,Divorced,766.6943705299523,8,4,Mobile,1
52.0,66885.18176554445,Female,Married,658.505510778852,7,9,Mobile,1
54.0,27592.55538178639,Female,Married,685.5218036800578,8,9,Tablet,1
64.0,39259.158188990084,Male,Single,708.5027809700251,12,2,Tablet,0
31.0,40930.58332097405,Other,Divorced,659.3828620363117,2,3,Desktop,0
20.0,49535.74028102098,Male,Divorced,666.8442920817608,6,12,Desktop,0
18.0,57601.01993730257,Other,Divorced,573.9362376132405,4,3,Tablet,1
22.0,46989.305774940745,Male,Married,587.271948009439,7,5,Mobile,0
43.0,36409.46308246588,Other,Single,583.6529671410087,4,13,Desktop,0
,64622.754270441954,Male,Divorced,692.3820891774375,4,3,Desktop,0
56.0,46468.149166929594,Other,Married,654.9623456975446,3,10,Mobile,1
,51531.9338130655,Male,Married,,6,6,Mobile,0
26.0,58266.016182138614,,Married,690.6069189144645,6,2,Mobile,1
32.0,,Other,Divorced,688.0419522667875,4,6,Mobile,1
32.0,50649.07542116435,Female,Divorced,601.3523806090444,7,6,Mobile,0
43.0,65457.10130653744,Other,Divorced,648.0520718759508,6,2,Tablet,0
59.0,52270.54211855565,Female,Divorced,688.2999172542334,6,6,Mobile,1
30.0,62941.954786857335,Male,Divorced,589.9151252116403,6,6,Desktop,1
68.0,58170.01166477585,Other,Divorced,689.6358735427166,2,6,Tablet,1
49.0,,Other,Divorced,671.0716522914493,4,12,Desktop,0
56.0,56141.20126803695,Other,Divorced,580.0560206149281,2,13,Mobile,1
66.0,59569.59905226159,Female,Divorced,665.3857714498671,4,14,Desktop,1
69.0,66524.85070994552,Female,Married,675.5954010659133,4,5,Mobile,1
49.0,50954.26639925255,Male,Divorced,606.179921170284,3,7,Desktop,0
21.0,40432.20354905839,Female,Single,611.6901445093654,5,13,Desktop,1
47.0,42887.816283148146,Female,Married,579.4106048348167,6,12,Mobile,1
54.0,,Male,Divorced,618.5700721613274,4,5,Desktop,1
40.0,35745.03547704923,Other,Single,649.1542592693996,4,11,Tablet,1
56.0,54767.07753802826,Other,Divorced,611.8834488913975,2,1,Desktop,1
62.0,40557.25177926374,Male,Single,546.0578471229279,9,12,Tablet,0
32.0,52922.79231802771,Other,Single,601.7988382754361,9,9,Tablet,0
60.0,47619.88334434046,Female,Single,,8,3,Desktop,1
46.0,49375.677600612275,Male,Single,707.1787096742577,6,2,Tablet,1
53.0,58340.84971743284,Male,Married,691.6335440343852,8,10,Tablet,1
30.0,41871.51313417178,Male,Married,708.5354755212502,4,6,Desktop,1
49.0,,Other,Single,598.2686772100723,7,8,Mobile,1
24.0,73509.61799958428,Male,Divorced,659.908554535554,6,2,Mobile,1
68.0,55146.63624427638,Male,Single,480.38674506989264,6,4,Tablet,0
39.0,38268.56472091297,Male,Married,680.0244278726692,7,2,Tablet,1
45.0,40774.72982990305,Other,Divorced,692.7628371730558,2,12,Mobile,1
19.0,46276.056488223265,Female,Married,625.3862382497354,7,12,Tablet,0
59.0,41076.64554395651,Male,Married,670.6800868205247,6,9,Mobile,0
62.0,,Female,Divorced,543.9553007240963,6,10,Desktop,0
23.0,52316.10915442538,Other,Single,593.9253106720123,6,13,Tablet,0
45.0,46682.04002411302,Other,Single,703.5814466902593,5,2,Desktop,1
45.0,52845.81325337087,Other,Single,685.7877294977702,7,10,Mobile,0
,67795.81118322932,Other,Single,621.1701842268662,5,2,Mobile,0
61.0,46454.70749113461,Female,Divorced,706.7953622183297,9,14,Desktop,0
37.0,32218.699929795333,,Divorced,659.6808681759937,6,13,Tablet,1
47.0,44016.61261619673,Other,Divorced,614.7045325254488,5,5,Desktop,1
28.0,61556.37825674964,Other,Married,637.2020882577694,3,12,Desktop,1
45.0,60151.55406075432,Female,Divorced,618.1207616081925,10,5,Tablet,0
42.0,57779.59471420351,Female,Single,567.135683442703,3,12,Mobile,1
,40629.39915256845,Other,Married,737.9680064131471,4,7,Desktop,0
50.0,61278.53927049048,Male,Single,610.2382896695186,4,1,Desktop,0
18.0,64653.48617055599,Male,Single,591.7347499992162,5,12,Mobile,0
44.0,39568.67555165036,Other,Divorced,542.9456175640648,8,2,Desktop,0
69.0,49376.44853686213,Female,Divorced,465.48224926876117,2,11,Mobile,1
30.0,80306.02945523168,Other,Single,699.1047807683291,12,11,Tablet,1
58.0,38901.885853049185,Other,Single,705.5526080925348,4,6,Mobile,1
20.0,24423.69996134413,Female,Married,733.5127009216296,2,2,Mobile,1
56.0,70743.56651697197,Other,Divorced,639.5672478680873,3,4,Desktop,0
23.0,67049.0715755684,Other,Married,627.4605230894483,1,10,Mobile,0
25.0,43145.49014633863,Other,Married,614.4593820687801,8,6,Mobile,0
44.0,48305.1232719787,Female,Married,620.8409659113258,8,13,Desktop,0
26.0,31625.974247165715,Male,Single,728.3853245518131,6,12,Mobile,0
54.0,51334.284089145534,Male,Married,648.1439325889729,3,7,Desktop,1
50.0,67488.705730571,Female,Married,676.4649557200981,5,10,Tablet,1
68.0,41860.92737362583,Male,Single,619.0595217627717,5,5,Mobile,0
59.0,63156.52968179439,Other,Divorced,742.4593534354495,5,8,Tablet,0
61.0,56955.85786085648,Male,Divorced,516.6682784395682,3,6,Mobile,1
41.0,58667.253363217096,Other,Married,564.5633077697368,9,5,Mobile,1
32.0,42735.362291204474,Male,Single,676.5797366964191,6,4,Tablet,0
49.0,44680.637255997586,Female,Divorced,772.5427525861655,7,6,Tablet,1
49.0,22298.413482928976,Male,Married,634.2429860168861,5,6,Desktop,1
41.0,41499.95881234841,Male,Married,591.034043599086,4,6,Desktop,0
,,Male,Single,720.046389361084,4,1,Tablet,0
69.0,36060.017088465895,Female,Married,672.658890941043,3,6,Mobile,1
66.0,38295.47519214643,Male,Divorced,740.3149668395971,11,1,Desktop,1
66.0,59602.84735560686,Female,Single,559.6754240678961,4,5,Mobile,0
69.0,56041.5243798964,Other,Divorced,734.8167940207649,6,7,Desktop,1
29.0,60347.94874694451,Male,Divorced,541.607978026221,8,1,Desktop,1
